Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2008-07-01,Perth,2.7,18.8,0,0.8,9.1,ENE,20,NA,E,0,7,97,53,1027.6,1024.5,2,3,8.5,18.1,No,0,No
2008-07-02,Perth,6.4,20.7,0,1.8,7,NE,22,ESE,ENE,6,9,80,39,1024.1,1019,0,6,11.1,19.7,No,0.4,No
2008-07-03,Perth,6.5,19.9,0.4,2.2,7.3,NE,31,NA,WNW,0,4,84,71,1016.8,1015.6,1,3,12.1,17.7,No,1.8,Yes
2008-07-04,Perth,9.5,19.2,1.8,1.2,4.7,W,26,NNE,NNW,11,6,93,73,1019.3,1018.4,6,6,13.2,17.7,Yes,1.8,Yes
2008-07-05,Perth,9.5,16.4,1.8,1.4,4.9,WSW,44,W,SW,13,17,69,57,1020.4,1022.1,7,5,15.9,16,Yes,6.8,Yes
2008-07-06,Perth,0.7,15.9,6.8,2.4,9.3,NNE,24,ENE,NE,4,7,86,41,1032,1029.6,0,1,6.9,15.5,Yes,0,No
2008-07-07,Perth,0.7,18.3,0,0.8,9.3,N,37,NE,NNE,15,13,72,36,1028.9,1024.2,1,5,8.7,17.9,No,0,No
2008-07-08,Perth,3.2,20.4,0,1.4,6.9,NNW,24,NE,N,9,13,58,42,1023.9,1021.1,6,5,10.2,19.3,No,8,Yes
2008-07-09,Perth,9.8,19.5,8,1.2,2.5,ESE,31,NA,ESE,0,9,97,64,1026.4,1024.9,7,6,12.1,18.7,Yes,4.6,Yes
2008-07-10,Perth,11.2,20.4,4.6,2.8,1.7,NNW,46,NE,NNE,19,11,79,50,1020.2,1014,7,7,13.4,19,Yes,2.6,Yes
2008-07-11,Perth,13.4,17.1,2.6,2.6,4.2,SW,54,SW,SW,26,13,63,77,1014.7,1015.2,4,7,15.4,14.8,Yes,4.4,Yes
2008-07-12,Perth,7.9,17.3,4.4,2.2,5.4,SSW,19,N,SSW,7,9,99,59,1019,1018.7,6,7,9.6,16.2,Yes,0.2,No
2008-07-13,Perth,5.3,18.8,0.2,1,2.3,N,17,NE,W,7,7,96,63,1025.1,1024.1,7,6,9.5,17.2,No,0,No
2008-07-14,Perth,7.9,19.7,0,0.2,6.5,NE,31,NE,N,11,15,86,41,1026,1021.9,6,5,11.7,18.7,No,0,No
2008-07-15,Perth,9,17.1,0,2.2,0.8,NNE,43,N,W,22,15,62,90,1010.4,1008.1,5,8,15.8,14.9,No,24,Yes
2008-07-16,Perth,10.2,17.1,24,1.8,6.7,SW,44,SW,WSW,19,13,76,54,1013.8,1014.8,6,3,13.2,15.9,Yes,2.6,Yes
2008-07-17,Perth,6.7,16.9,2.6,1.2,3.9,WSW,46,NE,NNW,9,9,87,75,1015.1,1010.1,2,7,10.5,14.4,Yes,20.6,Yes
2008-07-18,Perth,10.4,17.9,20.6,2,3.2,NW,76,NW,W,22,30,57,50,1002.3,1002.2,5,6,16.8,13.9,Yes,15.2,Yes
2008-07-19,Perth,3.3,14.3,15.2,1.8,9.4,SSE,37,NA,S,0,17,95,49,1022.9,1023.1,1,1,8,13.9,Yes,0,No
2008-07-20,Perth,1.2,17,0,1.8,7.8,NE,20,NE,SSE,7,6,97,52,1030.1,1028.5,1,6,7.5,15.6,No,0,No
2008-07-21,Perth,3.1,17.1,0,1.2,4.7,NNE,28,NE,E,2,6,94,49,1031.1,1027.4,6,5,9.1,16.6,No,0,No
2008-07-22,Perth,3.3,18.9,0,1.2,7.5,NE,37,NE,N,11,15,80,40,1024.8,1020.2,7,7,8.9,17.9,No,0,No
2008-07-23,Perth,8.9,17.4,0,2.8,0,N,43,N,NNW,15,7,68,97,1013.6,1013.2,7,8,14.9,14.9,No,19.2,Yes
2008-07-24,Perth,9.3,18.3,19.2,3.8,8.3,W,33,WNW,WSW,7,15,65,57,1018,1017.6,3,4,15.6,17.4,Yes,0,No
2008-07-25,Perth,7.4,17,0,2.6,1.9,NE,28,E,SW,7,19,84,88,1017.7,1014.1,7,8,12.1,14,No,12.6,Yes
2008-07-26,Perth,7.8,19.3,12.6,1.8,9.4,SE,52,E,N,4,2,99,50,1017.8,1015.2,1,2,9,19.2,Yes,4,Yes
2008-07-27,Perth,9,20.8,4,2,1.3,NNE,39,NE,W,11,11,94,87,1009.7,1007.9,8,7,13.4,18.3,Yes,5.4,Yes
2008-07-28,Perth,11.8,15.9,5.4,1.6,2.2,WSW,44,N,W,11,15,97,81,1008.2,1007.5,7,7,14.6,14.7,Yes,11.6,Yes
2008-07-29,Perth,9.7,18,11.6,2,3.7,WNW,39,NNE,WNW,7,11,93,86,1012.3,1008.4,5,7,12.5,15.3,Yes,30.6,Yes
2008-07-30,Perth,12.4,16.2,30.6,3.2,5.7,WSW,54,W,W,19,24,61,45,1005.1,1005.5,4,6,14.4,15,Yes,3,Yes
2008-07-31,Perth,6.7,14.1,3,4.2,0,SW,37,NNE,SSW,4,9,97,76,1015.2,1017,2,6,9.1,13.2,Yes,7.8,Yes
2008-08-01,Perth,7.8,18.1,7.8,1,2,N,30,NNE,N,11,11,82,86,1021.6,1018.3,7,7,11.8,15,Yes,18.2,Yes
2008-08-02,Perth,11.2,17.5,18.2,0.6,8.2,SW,46,SW,SSW,22,20,57,51,1017.3,1018,1,3,14.7,15.6,Yes,0.2,No
2008-08-03,Perth,4.7,17.1,0.2,2.6,9.7,S,24,NNE,S,6,15,70,50,1027.5,1026.5,3,3,11.2,16.4,No,0,No
2008-08-04,Perth,2.1,19.4,0,2,9.8,NE,22,ENE,NE,6,6,78,39,1033.2,1030.5,1,1,9.7,19.2,No,0,No
2008-08-05,Perth,2.2,20.3,0,2.6,10,NE,20,ENE,SE,7,7,84,40,1034,1030.5,1,1,9.6,18.9,No,0,No
2008-08-06,Perth,2.3,20.7,0,2.2,9.9,WSW,22,NA,WSW,0,13,74,NA,1030.7,1026.4,5,5,10.7,19.1,No,0,No
2008-08-07,Perth,4.3,17.3,0,2.2,3.9,ESE,24,SE,ESE,11,9,NA,58,1029.1,1027.6,5,5,11.7,16.7,No,0,No
2008-08-08,Perth,7,17.6,0,2,10,ENE,31,E,ENE,11,13,64,41,1031.7,1028.3,1,2,11.4,17.3,No,0,No
2008-08-09,Perth,8.1,18,0,4.2,9.9,ESE,46,E,E,17,15,63,42,1030,1026.4,1,3,11.6,17.7,No,0,No
2008-08-10,Perth,9.1,18.7,0,4.4,9.2,NNE,39,ENE,ENE,13,19,52,41,1028.6,1024.7,6,2,12.6,18.5,No,0,No
2008-08-11,Perth,7.6,20.4,0,4.2,9,E,30,E,SE,9,9,57,33,1026.9,1023.5,6,1,11,20.3,No,0,No
2008-08-12,Perth,4.9,17.5,0,4,7.2,SE,28,E,ESE,11,15,57,34,1030.4,1027.9,3,5,11.7,16.9,No,0,No
