Start of log
Epoch:00, Learning Rate:0.0180, Train Acc:0.832, Val Acc:0.902
Epoch:01, Learning Rate:0.0162, Train Acc:0.907, Val Acc:0.913
Epoch:02, Learning Rate:0.0146, Train Acc:0.916, Val Acc:0.920
Epoch:03, Learning Rate:0.0131, Train Acc:0.922, Val Acc:0.923
Epoch:04, Learning Rate:0.0118, Train Acc:0.925, Val Acc:0.927
Epoch:05, Learning Rate:0.0106, Train Acc:0.928, Val Acc:0.928
Epoch:06, Learning Rate:0.0096, Train Acc:0.931, Val Acc:0.928
Epoch:07, Learning Rate:0.0086, Train Acc:0.933, Val Acc:0.932
Epoch:08, Learning Rate:0.0077, Train Acc:0.934, Val Acc:0.930
Epoch:09, Learning Rate:0.0070, Train Acc:0.935, Val Acc:0.933
Epoch:10, Learning Rate:0.0063, Train Acc:0.935, Val Acc:0.932
Epoch:11, Learning Rate:0.0056, Train Acc:0.937, Val Acc:0.932
Epoch:12, Learning Rate:0.0051, Train Acc:0.938, Val Acc:0.934
Epoch:13, Learning Rate:0.0046, Train Acc:0.938, Val Acc:0.935
Epoch:14, Learning Rate:0.0041, Train Acc:0.939, Val Acc:0.935
Epoch:15, Learning Rate:0.0037, Train Acc:0.940, Val Acc:0.935
Epoch:16, Learning Rate:0.0033, Train Acc:0.940, Val Acc:0.935
Epoch:17, Learning Rate:0.0030, Train Acc:0.941, Val Acc:0.936
Epoch:18, Learning Rate:0.0027, Train Acc:0.940, Val Acc:0.935
Epoch:19, Learning Rate:0.0024, Train Acc:0.941, Val Acc:0.935
End of log
